City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
645,Alyangula,AU,73.4,broken clouds,-13.85,136.42,Groote Eylandt Lodge
650,Hirara,JP,77.29,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
654,Kota Belud,MY,77.0,heavy intensity rain,6.35,116.43,Tang Dynasty Lodge Kota Belud
660,Candelaria,PH,78.01,overcast clouds,13.93,121.42,Casa de Provincia
665,Bac Lieu,VN,79.38,moderate rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
668,Manama,BH,82.4,clear sky,26.22,50.58,Al Safir Hotel & Tower
669,Canutama,BR,84.09,moderate rain,-6.53,-64.38,Hotel Jhennifer
671,Kloulklubed,PW,84.2,moderate rain,7.04,134.26,Storyboard Beach Resort
676,Sokoni,TZ,82.4,scattered clouds,-6.43,39.55,Ujamaa Beach Resort
677,Khanpur,PK,71.92,clear sky,28.65,70.66,VIP shama biryani khanpur
678,Vanimo,PG,78.21,clear sky,-2.67,141.3,Vahmoneh Lodge Vanimo
